Date,Country,Wages
2020-07-01,Belgium,1626
2021-01-01,Belgium,1626
2021-07-01,Belgium,1626
2022-01-01,Belgium,1658
2022-07-01,Belgium,1842
2023-01-01,Belgium,1955
2023-07-01,Belgium,1955
2024-01-01,Belgium,1994
2024-07-01,Belgium,2070
2025-01-01,Belgium,2070
2020-07-01,Czechia,546
2021-01-01,Czechia,579
2021-07-01,Czechia,596
2022-01-01,Czechia,652
2022-07-01,Czechia,655
2023-01-01,Czechia,717
2023-07-01,Czechia,729
2024-01-01,Czechia,764
2024-07-01,Czechia,755
2025-01-01,Czechia,826
2020-07-01,Germany,1544
2021-01-01,Germany,1585
2021-07-01,Germany,1602
2022-01-01,Germany,1634
2022-07-01,Germany,1739
2023-01-01,Germany,1997
2023-07-01,Germany,1997
2024-01-01,Germany,2054
2024-07-01,Germany,2054
2025-01-01,Germany,2161
2020-07-01,Spain,1108
2021-01-01,Spain,1108
2021-07-01,Spain,1108
2022-01-01,Spain,1126
2022-07-01,Spain,1167
2023-01-01,Spain,1167
2023-07-01,Spain,1260
2024-01-01,Spain,1323
2024-07-01,Spain,1323
2025-01-01,Spain,1381
2020-07-01,France,1539
2021-01-01,France,1555
2021-07-01,France,1555
2022-01-01,France,1603
2022-07-01,France,1646
2023-01-01,France,1709
2023-07-01,France,1747
2024-01-01,France,1767
2024-07-01,France,1767
2025-01-01,France,1802
2020-07-01,Luxembourg,2142
2021-01-01,Luxembourg,2202
2021-07-01,Luxembourg,2202
2022-01-01,Luxembourg,2257
2022-07-01,Luxembourg,2313
2023-01-01,Luxembourg,2387
2023-07-01,Luxembourg,2508
2024-01-01,Luxembourg,2571
2024-07-01,Luxembourg,2571
2025-01-01,Luxembourg,2638
2020-07-01,Netherlands,1680
2021-01-01,Netherlands,1685
2021-07-01,Netherlands,1701
2022-01-01,Netherlands,1725
2022-07-01,Netherlands,1756
2023-01-01,Netherlands,1934
2023-07-01,Netherlands,1995
2024-01-01,Netherlands,2070
2024-07-01,Netherlands,2134
2025-01-01,Netherlands,2193
2020-07-01,Poland,583
2021-01-01,Poland,614
2021-07-01,Poland,619
2022-01-01,Poland,655
2022-07-01,Poland,642
2023-01-01,Poland,746
2023-07-01,Poland,811
2024-01-01,Poland,978
2024-07-01,Poland,998
2025-01-01,Poland,1091
2020-07-01,Portugal,741
2021-01-01,Portugal,776
2021-07-01,Portugal,776
2022-01-01,Portugal,823
2022-07-01,Portugal,823
2023-01-01,Portugal,887
2023-07-01,Portugal,887
2024-01-01,Portugal,957
2024-07-01,Portugal,957
2025-01-01,Portugal,1015
